source,date,series,x_pixel,y_pixel,height,status,color_distance
260910,2026-06-25,boss,985.6923076923076,423.5,290.5,detected,
260910,2026-06-25,field,985.6923076923076,659.5,54.5,detected,
260910,2026-06-25,coin_dark,985.6923076923076,701.5,12.5,detected,
260910,2026-06-25,coin_light,985.6923076923076,700.0,14.0,detected,
260910,2026-06-25,other,985.6923076923076,,,below_resolution_at_axis,
260910,2026-07-02,boss,1003.7307692307692,437.0,277.0,detected,
260910,2026-07-02,field,1003.7307692307692,656.5,57.5,detected,
260910,2026-07-02,coin_dark,1003.7307692307692,703.5,10.5,detected,
260910,2026-07-02,coin_light,1003.7307692307692,705.0,9.0,detected,
260910,2026-07-02,other,1003.7307692307692,,,below_resolution_at_axis,
260910,2026-07-09,boss,1021.7692307692308,447.0,267.0,detected,
260910,2026-07-09,field,1021.7692307692308,654.5,59.5,detected,
260910,2026-07-09,coin_dark,1021.7692307692308,704.5,9.5,detected,
260910,2026-07-09,coin_light,1021.7692307692308,706.0,8.0,detected,
260910,2026-07-09,other,1021.7692307692308,,,below_resolution_at_axis,
260910,2026-07-16,boss,1039.8076923076924,440.0,274.0,detected,
260910,2026-07-16,field,1039.8076923076924,650.5,63.5,detected,
260910,2026-07-16,coin_dark,1039.8076923076924,705.5,8.5,detected,
260910,2026-07-16,coin_light,1039.8076923076924,,,unresolved_overlap_or_zero,
260910,2026-07-16,other,1039.8076923076924,,,below_resolution_at_axis,
260910,2026-07-23,boss,1057.8461538461538,423.0,291.0,detected,
260910,2026-07-23,field,1057.8461538461538,651.5,62.5,detected,
260910,2026-07-23,coin_dark,1057.8461538461538,706.5,7.5,detected,
260910,2026-07-23,coin_light,1057.8461538461538,,,unresolved_overlap_or_zero,
260910,2026-07-23,other,1057.8461538461538,,,below_resolution_at_axis,
260910,2026-07-30,boss,1075.8846153846157,347.5,366.5,detected,
260910,2026-07-30,field,1075.8846153846157,657.5,56.5,detected,
260910,2026-07-30,coin_dark,1075.8846153846157,707.5,6.5,detected,
260910,2026-07-30,coin_light,1075.8846153846157,706.0,8.0,detected,
260910,2026-07-30,other,1075.8846153846157,,,below_resolution_at_axis,
260910,2026-08-06,boss,1093.9230769230771,393.5,320.5,detected,
260910,2026-08-06,field,1093.9230769230771,656.5,57.5,detected,
260910,2026-08-06,coin_dark,1093.9230769230771,709.0,5.0,detected,
260910,2026-08-06,coin_light,1093.9230769230771,707.0,7.0,detected,
260910,2026-08-06,other,1093.9230769230771,,,below_resolution_at_axis,
260910,2026-08-13,boss,1111.9615384615386,393.5,320.5,detected,
260910,2026-08-13,field,1111.9615384615386,655.5,58.5,detected,
260910,2026-08-13,coin_dark,1111.9615384615386,709.5,4.5,detected,
260910,2026-08-13,coin_light,1111.9615384615386,708.0,6.0,detected,
260910,2026-08-13,other,1111.9615384615386,,,below_resolution_at_axis,
260910,2026-08-20,boss,1130.0,383.5,330.5,detected,
260910,2026-08-20,field,1130.0,653.5,60.5,detected,
260910,2026-08-20,coin_dark,1130.0,710.5,3.5,detected,
260910,2026-08-20,coin_light,1130.0,,,unresolved_overlap_or_zero,
260910,2026-08-20,other,1130.0,,,below_resolution_at_axis,
