source,date,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high
260910,2025-11-06,0.1831831831831832,0.15833333333333333,0.21241830065359477,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,98.5,30.5,10.0,26.0,1.5,469.6708292755053,86.03579755497245,74.36454796862166,99.76667942126747
260910,2025-11-13,0.18072289156626506,0.15598885793871867,0.2098360655737705,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,30.0,10.0,27.0,1.5,462.83430793817575,83.64475444665827,72.19699511013327,97.11933019030573
260910,2025-11-20,0.18152866242038215,0.15542521994134897,0.21254355400696864,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,91.5,28.5,10.0,25.5,1.5,437.93631378391717,79.49799326650725,68.06634789016894,93.08054056034477
260910,2025-11-27,0.17088607594936708,0.1457725947521866,0.20069204152249134,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,89.5,27.0,10.0,30.0,1.5,441.1097653330759,75.3795168607155,64.3017150631306,88.52721934020208
260910,2025-12-04,0.17834394904458598,0.15249266862170088,0.20905923344947736,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,92.5,28.0,10.0,25.0,1.5,434.2393158501497,77.44395441913497,66.21831209445098,90.78173850525778
260910,2025-12-11,0.18670886075949367,0.16034985422740525,0.2179930795847751,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,92.5,29.5,10.0,24.5,1.5,437.93631378391717,81.76659023180731,70.22302407613832,95.46708570376049
260910,2025-12-18,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477
260910,2025-12-25,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193
260910,2026-01-01,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295
260910,2026-01-08,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932
260910,2026-01-15,0.21021021021021022,0.19186046511627908,0.22981366459627328,False,other_axis_band,116.5,35.0,9.0,4.5,1.5,477.0502009423504,100.2808230209145,91.52707343661375,109.63265487495008
