date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status,main_counterfactual,C_field_signed_excess,C_field_low,C_field_high,feasible,C_field_per_account,season,method,main_drift_assumed
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid,70.37231552206494,32.7806785220656,20.787096278045652,46.543805687334384,True,0.0001275254754760344,3,flat_per_account,-0.1
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count,84.50707904721095,5.4253106170864385,-6.012046503188074,18.75140561043382,True,,3,flat_per_account,0.0
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,90.1381595297783,12.073414424705007,0.32066850508732614,25.54142596502362,True,4.16547272670048e-05,3,flat_per_account,0.0
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,82.4355375688195,15.758815761627147,4.44127229610271,28.643403706993453,True,5.55643083967193e-05,3,flat_per_account,0.0
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid,78.19146169118326,24.961532352947273,12.967950108927326,38.72465951821606,True,9.710693693473412e-05,3,flat_per_account,0.0
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count,92.95778695193205,-3.025397287634661,-14.462754407909173,10.300697705712722,False,,3,flat_per_account,0.1
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,99.15197548275614,3.0595984717271705,-8.69314744789051,16.527610012045784,True,1.0555981547817525e-05,3,flat_per_account,0.1
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,90.67909132570145,7.515262004745196,-3.8022814607792412,20.399849950111502,True,2.64982053239445e-05,3,flat_per_account,0.1
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid,86.01060786030159,17.142386183828947,5.1488039398089995,30.90551334909773,True,6.668839839343381e-05,3,flat_per_account,0.1
2026-06-18,260910,0.16526138279932545,0.15562913907284767,0.17525773195876287,False,other_axis_band,220.0,49.0,12.0,14.0,1.5,857.3034025030339,141.67914577621806,133.42139045577017,150.2490499232121,393763.0,,missing_challenger_count,99.69335763318713,41.98578814303093,33.72803282258303,50.55569229002498,True,,4,flat_total,-0.1
2026-06-25,260910,0.14611260053619302,0.13870541611624834,0.15374149659863945,False,other_axis_band,290.5,54.5,12.5,14.0,1.5,1072.6991596510863,156.73486380960912,148.78918330695384,164.9183742048609,432475.0,472376.0,valid,99.69335763318713,57.04150617642199,49.09582567376671,65.22501657167376,True,0.00012075445445243193,4,flat_total,-0.1
2026-07-02,260910,0.1617440225035162,0.15373961218836565,0.17,False,other_axis_band,277.0,57.5,10.5,9.0,1.5,1040.099476446841,168.22987312431326,159.9044901462595,176.81691099596298,395729.0,450911.0,valid,99.69335763318713,68.53651549112612,60.21113251307236,77.12355336277585,True,0.00015199566098659408,4,flat_total,-0.1
