model,term,coefficient,hac_se,ci_lower,ci_upper,p_value,n,df,hac_lag_weeks,exploratory_BH_q
opening_local_FE_HAC2,season4,0.1127648142276072,0.05117956134607808,0.006006120012587407,0.219523508442627,0.039460866709713265,26,20,2,
opening_local_FE_HAC2,log_A_over_pre,0.08723512525450904,0.13944108538457156,-0.20363388190478554,0.37810413241380364,0.5386477610595121,26,20,2,
opening_local_FE_HAC2,log1p_C_100k,0.2759401048754338,0.03260063601584644,0.20793636978875907,0.34394383996210853,4.823670405373308e-08,26,20,2,
opening_local_FE_post_control_HAC2,intercept,5.0558831043196895,0.02525221603339711,5.003029608734674,5.108736599904705,4.728198335053589e-33,26,19,2,
opening_local_FE_post_control_HAC2,season2,0.028496764250721424,0.034656670643100414,-0.04404048105099401,0.10103400955243685,0.421129135312788,26,19,2,
opening_local_FE_post_control_HAC2,season3,-0.19701981276609873,0.03800852983281663,-0.27657257997887974,-0.11746704555331772,5.2847778435501115e-05,26,19,2,
opening_local_FE_post_control_HAC2,season4,0.08346530739046121,0.05263379560848158,-0.026698492892901146,0.19362910767382358,0.12929356624178648,26,19,2,
opening_local_FE_post_control_HAC2,log_A_over_pre,0.06246600899087994,0.14595623474589914,-0.2430239012231527,0.3679559192049126,0.6734793180371517,26,19,2,
opening_local_FE_post_control_HAC2,log1p_C_100k,0.43121428906551634,0.09606991063160981,0.2301376552087005,0.6322909229223321,0.0002516412064380881,26,19,2,
opening_local_FE_post_control_HAC2,post_opening,-0.25019100215752976,0.1411264728236805,-0.5455721044912936,0.04519010017623398,0.0922926311671254,26,19,2,
