date,season,scenario,C_boss,M_boss,B_total,C_share,C_accounts,C_mean_per_100k,estimated_transfer_count,transferred_production_in_main,stage,cap_tier,season_boss_tier,assumption_only_share_lower,assumption_only_share_upper,C_tier1,M_tier1,C_tier2,M_tier2,C_tier3,M_tier3,C_tier4,M_tier4,C_tier5,M_tier5,C_tier6,M_tier6,C_tier7,M_tier7,A_accounts,M_mean_per_100k,scenario_share_min,scenario_share_max
2025-11-13,2,primary,26.275639455822564,274.08553687782353,300.3611763336461,0.08748014565848936,118308.0,22.209520451552358,8195.5,76.24429572663522,post_leap,3,3,0.0,0.7352941176470589,2.0674484907603788e-14,38.281326395464674,13.27905390360613,104.50964269782372,12.99658555221641,51.78719757857001,0.0,47.115478640571936,0.0,11.778869660142984,0.0,20.61302190525022,0.0,0.0,296153.0,92.54862752625283,0.06569277032722493,0.14197841887110438
2025-11-20,0,primary,,,282.6928718434316,,,,,,end_boundary_unresolved,,3,,,,,,,,,,,,,,,,,326468.0,,,
2025-11-27,0,primary,0.0,273.8587195983244,273.8587195983244,0.0,,,,,outside_season,,3,0.0,0.0,0.0,35.33660898042895,0.0,100.12039211121537,0.0,58.894348300714924,0.0,47.115478640571936,0.0,11.778869660142984,0.0,20.61302190525022,0.0,0.0,309116.0,88.59415869716365,0.0,0.0
2025-12-04,0,primary,0.0,270.91400218328863,270.91400218328863,0.0,,,,,outside_season,,3,0.0,0.0,0.0,35.33660898042895,0.0,97.17567469617961,0.0,58.894348300714924,0.0,50.06019605560768,0.0,11.778869660142984,0.0,17.668304490214474,0.0,0.0,299044.0,90.5933582293203,0.0,0.0
2025-12-11,0,primary,0.0,279.7481544283959,279.7481544283959,0.0,,,,,outside_season,,3,0.0,0.0,0.0,35.33660898042895,0.0,103.0651095262511,0.0,61.839065715750664,0.0,50.06019605560768,0.0,11.778869660142984,0.0,17.668304490214474,0.0,0.0,283675.0,98.61572377840695,0.0,0.0
2025-12-18,3,primary,14.72358707517889,282.6928718434315,297.4164589186104,0.04950495049505004,,,0.0,0.0,pre_leap,3,3,0.04950495049504959,0.2475247524752476,14.723587075178587,35.3366089804291,1.7000641315133874e-13,103.06510952625094,1.3247482670199782e-13,58.89434830071479,0.0,53.00491347064343,0.0,11.778869660142984,0.0,20.61302190525022,0.0,0.0,320480.0,88.20920863811516,0.04950495049504959,0.049504950495053365
2025-12-25,3,primary,29.447174150357636,288.58230667350296,318.0294808238606,0.09259259259259314,289845.0,10.159628128950866,0.0,0.0,pre_leap,3,3,0.09259259259259268,0.28703703703703715,18.0330233405512,34.971890130092234,11.414150809806294,103.4298283765878,1.425634662429753e-13,61.83906571575052,0.0,53.00491347064343,0.0,11.778869660142984,0.0,23.557739320285968,0.0,0.0,341835.0,84.42152110623633,0.09259259259259267,0.09398609162808469
2026-01-01,3,primary,32.391891565393266,291.5270240885388,323.91891565393206,0.10000000000000019,283614.0,11.421118691388036,0.0,0.0,pre_leap,3,3,0.1000000000000001,0.3000000000000001,18.15357497757558,34.85133849306785,14.238316587817657,103.5503800136122,2.6538358701695756e-14,64.78378313078639,0.0,53.00491347064343,0.0,11.778869660142984,0.0,23.557739320285968,0.0,0.0,312624.0,93.2516454554157,0.1000000000000001,0.11093531327208109
2026-01-08,3,primary,32.39189156539338,294.47174150357444,326.86363306896783,0.09909909909909963,257052.0,12.60129917891842,0.0,0.0,pre_leap,3,3,0.09909909909909913,0.29729729729729737,12.49544677114702,34.62003186942492,19.8964447942462,103.78168663725512,1.6520631914956803e-13,64.78378313078625,0.0,55.94963088567918,0.0,11.778869660142984,0.0,23.557739320285968,0.0,0.0,296529.0,99.30622013481799,0.09909909909909913,0.11096111696937296
2026-01-15,3,primary,31.097172910829237,310.49004723331734,341.58722014414656,0.09103728440925432,234425.0,13.265297178555716,11313.5,1.1405183860855488,post_leap,3,3,0.0,0.6982758620689654,9.296168118933233,34.87459310660296,21.801004791896002,104.82184405464108,0.0,67.72850054582216,0.0,58.894348300714924,0.0,14.723587075178731,0.0,29.447174150357462,0.0,0.0,284602.0,109.09622814784062,0.08376707769912846,0.11877517586689063
