x_pixel,y_pixel,rgb_distance,series
995,526,11.575836902790225,boss
996,526,9.848857801796104,boss
997,526,9.848857801796104,boss
998,526,9.848857801796104,boss
999,524,19.261360284258224,boss
1000,519,21.118712081942874,boss
1001,515,24.55605831561735,boss
1002,503,18.466185312619388,boss
1003,503,18.466185312619388,boss
1004,503,18.466185312619388,boss
1005,501,7.681145747868608,boss
1006,506,7.0,boss
1007,506,7.0,boss
1008,506,7.0,boss
1009,509,15.0,boss
1010,515,15.684387141358123,boss
1011,515,15.684387141358123,boss
1012,523,12.206555615733702,boss
1013,523,12.206555615733702,boss
1014,524,7.54983443527075,boss
1015,524,6.557438524302,boss
1016,524,6.557438524302,boss
1017,524,6.557438524302,boss
1018,525,12.0,boss
1019,525,12.0,boss
1020,525,12.0,boss
1021,525,10.488088481701515,boss
1022,525,10.488088481701515,boss
1023,525,10.488088481701515,boss
1024,524,19.1049731745428,boss
1025,524,19.44222209522358,boss
1026,522,11.224972160321824,boss
1027,522,11.224972160321824,boss
1028,522,11.224972160321824,boss
1029,521,15.0,boss
1030,513,12.727922061357855,boss
1031,513,12.727922061357855,boss
1032,513,12.727922061357855,boss
1033,509,19.544820285692065,boss
1034,501,18.05547008526779,boss
1035,501,9.695359714832659,boss
1036,501,9.695359714832659,boss
1037,501,9.695359714832659,boss
1038,502,12.24744871391589,boss
1039,503,15.556349186104045,boss
1040,505,23.345235059857504,boss
1041,506,16.186414056238647,boss
1042,506,14.035668847618199,boss
1043,505,7.0710678118654755,boss
1044,504,6.4031242374328485,boss
1045,504,6.4031242374328485,boss
1046,504,6.4031242374328485,boss
1047,502,12.727922061357855,boss
1048,500,10.392304845413264,boss
1049,500,10.392304845413264,boss
1050,497,8.602325267042627,boss
1051,497,8.602325267042627,boss
1052,497,8.602325267042627,boss
1053,497,9.0,boss
1054,496,14.45683229480096,boss
1055,493,14.352700094407323,boss
1056,493,14.352700094407323,boss
1057,493,14.352700094407323,boss
1058,488,14.352700094407323,boss
1059,488,14.352700094407323,boss
1060,488,14.352700094407323,boss
1061,485,22.045407685048602,boss
1062,473,23.366642891095847,boss
1063,473,23.366642891095847,boss
1064,465,15.556349186104045,boss
1065,464,15.165750888103101,boss
1066,464,15.165750888103101,boss
1067,464,15.165750888103101,boss
1068,463,19.313207915827967,boss
1069,462,9.539392014169456,boss
1070,462,4.898979485566356,boss
1071,462,4.898979485566356,boss
1072,462,4.898979485566356,boss
1073,462,9.9498743710662,boss
1074,462,9.9498743710662,boss
1075,463,11.090536506409418,boss
1076,469,14.142135623730951,boss
1077,469,14.142135623730951,boss
1078,469,14.142135623730951,boss
1079,470,16.1245154965971,boss
1080,476,15.394804318340652,boss
1081,476,15.394804318340652,boss
1082,476,15.394804318340652,boss
1083,488,16.522711641858304,boss
1084,488,16.522711641858304,boss
1085,488,16.522711641858304,boss
1086,496,22.64950330581225,boss
1087,502,14.352700094407323,boss
1088,504,8.774964387392123,boss
1089,504,8.774964387392123,boss
1090,504,8.774964387392123,boss
