date,series,x_week,y_center_estimate_px,y_possible_low_px,y_possible_high_px,status,bend_detected_here
2024-05-23,other,928,,,,unresolved_at_axis,False
2024-05-30,boss,936,563.0,560.0,569.0,observed_thick_stroke,True
2024-05-30,field,936,715.0,712.0,717.0,observed_thick_stroke,True
2024-05-30,azmoth,936,,,,not_observable_before_launch,False
2024-05-30,other_coin,936,782.0,780.0,787.0,observed_thick_stroke,True
2024-05-30,other,936,,,,unresolved_at_axis,False
2024-06-06,boss,943,569.0,565.0,571.0,observed_thick_stroke,True
2024-06-06,field,943,706.0,704.0,710.0,observed_thick_stroke,True
2024-06-06,azmoth,943,,,,not_observable_before_launch,False
2024-06-06,other_coin,943,786.0,783.0,791.0,observed_thick_stroke,False
2024-06-06,other,943,,,,unresolved_at_axis,False
2024-06-13,boss,950,569.0,567.0,571.0,observed_thick_stroke,True
2024-06-13,field,950,707.0,705.0,709.0,observed_thick_stroke,True
2024-06-13,azmoth,950,,,,not_observable_before_launch,False
2024-06-13,other_coin,950,791.0,787.0,793.0,observed_thick_stroke,True
2024-06-13,other,950,,,,unresolved_at_axis,False
2024-06-20,boss,958,561.0,554.0,567.0,observed_thick_stroke,False
2024-06-20,field,958,711.0,708.0,713.0,observed_thick_stroke,True
2024-06-20,azmoth,958,,,,not_observable_before_launch,False
2024-06-20,other_coin,958,788.0,783.0,790.0,observed_thick_stroke,True
2024-06-20,other,958,,,,unresolved_at_axis,False
2024-06-27,boss,965,529.0,524.0,547.0,observed_thick_stroke,True
2024-06-27,field,965,710.0,708.0,712.0,observed_thick_stroke,False
2024-06-27,azmoth,965,,,,not_observable_before_launch,False
2024-06-27,other_coin,965,782.0,778.0,784.0,observed_thick_stroke,True
2024-06-27,other,965,,,,unresolved_at_axis,False
2024-07-04,boss,973,529.0,526.0,533.0,observed_thick_stroke,False
2024-07-04,field,973,710.0,707.0,712.0,observed_thick_stroke,True
2024-07-04,azmoth,973,,,,not_observable_before_launch,False
2024-07-04,other_coin,973,788.0,781.0,791.0,observed_thick_stroke,True
2024-07-04,other,973,,,,unresolved_at_axis,False
2024-07-11,boss,981,535.0,532.0,537.0,observed_thick_stroke,True
2024-07-11,field,981,710.0,707.0,712.0,observed_thick_stroke,False
2024-07-11,azmoth,981,,,,not_observable_before_launch,False
2024-07-11,other_coin,981,790.0,788.0,792.0,observed_thick_stroke,False
2024-07-11,other,981,,,,unresolved_at_axis,False
2024-07-18,boss,989,530.0,527.0,536.0,observed_thick_stroke,False
2024-07-18,field,989,711.0,708.0,713.0,observed_thick_stroke,True
2024-07-18,azmoth,989,,,,not_observable_before_launch,False
2024-07-18,other_coin,989,789.0,787.0,792.0,observed_thick_stroke,True
2024-07-18,other,989,,,,unresolved_at_axis,False
2024-07-25,boss,997,526.0,522.0,528.0,observed_thick_stroke,True
2024-07-25,field,997,710.0,708.0,712.0,observed_thick_stroke,False
2024-07-25,azmoth,997,,,,not_observable_before_launch,False
2024-07-25,other_coin,997,788.0,785.0,790.0,observed_thick_stroke,True
2024-07-25,other,997,,,,unresolved_at_axis,False
2024-08-01,boss,1004,503.0,499.0,508.0,observed_thick_stroke,True
2024-08-01,field,1004,709.0,707.0,711.0,observed_thick_stroke,True
2024-08-01,azmoth,1004,,,,not_observable_before_launch,False
2024-08-01,other_coin,1004,783.0,781.0,787.0,observed_thick_stroke,True
2024-08-01,other,1004,,,,unresolved_at_axis,False
2024-08-08,boss,1011,515.0,507.0,525.0,observed_thick_stroke,False
2024-08-08,field,1011,705.0,703.0,708.0,observed_thick_stroke,True
2024-08-08,azmoth,1011,,,,not_observable_before_launch,False
2024-08-08,other_coin,1011,785.0,783.0,790.0,observed_thick_stroke,False
2024-08-08,other,1011,,,,unresolved_at_axis,False
2024-08-15,boss,1019,525.0,522.0,527.0,observed_thick_stroke,True
2024-08-15,field,1019,693.0,691.0,700.0,observed_thick_stroke,True
2024-08-15,azmoth,1019,,,,not_observable_before_launch,False
2024-08-15,other_coin,1019,795.0,790.0,797.0,observed_thick_stroke,True
2024-08-15,other,1019,,,,unresolved_at_axis,False
2024-08-22,boss,1027,522.0,519.0,526.0,observed_thick_stroke,True
2024-08-22,field,1027,696.0,694.0,698.0,observed_thick_stroke,True
2024-08-22,azmoth,1027,,,,not_observable_before_launch,False
