date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index
2025-10-30,2,post_leap,valid,305432.0,150125.0,267.11500022604446,33.24617610760164,300.3611763336461,0.0008745481816772456,0.00022145662686162625,0.2532240435705982,343447.25954103604,38015.25954103605,0.1596164321744015,0.33187131370588213,0.0,6.266315137385512,False,0.0,123.4140507290915,31.251404959047477
2025-11-06,2,post_leap,valid,299525.0,134699.0,270.1843104609574,27.23214845765296,297.4164589186104,0.000902042602323537,0.00020217038328163505,0.22412509427035054,329714.42607312195,30189.426073121947,0.16033440191578027,0.3105757055672941,0.0,6.414408593062473,False,0.0,127.29399456237553,28.529778531341904
2025-11-13,2,post_leap,valid,296153.0,118308.0,275.32206126540274,25.039115068243362,300.3611763336461,0.0009296615643447904,0.00021164346509317512,0.2276564646859826,323086.5810240692,26933.58102406923,0.17692094136789388,0.3377348095446447,0.0,6.953436979935613,False,0.0,131.1915133628134,29.866596128981943
2025-11-20,0,end_boundary_unresolved,season_end_boundary,326468.0,,,,282.6928718434316,,,,,,,,,,False,,,
2025-11-27,0,outside_season,outside_season,309116.0,0.0,273.8587195983244,0.0,273.8587195983244,0.0008859415869716366,,0.0,309116.0,0.0,0.0,0.0,,,False,0.0,125.02185957077518,
2025-12-04,0,outside_season,outside_season,299044.0,0.0,270.91400218328863,0.0,270.91400218328863,0.0009059335822932031,,0.0,299044.0,0.0,0.0,0.0,,,False,0.0,127.84307991801745,
2025-12-11,0,outside_season,outside_season,283675.0,0.0,279.7481544283959,0.0,279.7481544283959,0.0009861572377840694,,0.0,283675.0,0.0,0.0,0.0,,,False,0.0,139.16404141088213,
2025-12-18,3,pre_leap,missing_challenger_count,320480.0,,282.6928718434315,14.72358707517889,297.4164589186104,0.0008820920863811516,,,,,,,,,False,,124.47862768131581,
2025-12-25,3,pre_leap,valid,341835.0,289845.0,288.58230667350296,29.447174150357636,318.0294808238606,0.0008442152110623633,0.00010159628128950866,0.12034405440487095,376716.1224489798,34881.12244897982,0.1203440544048703,0.12234308850319968,0.1203440544048703,0.4748119964701244,False,0.0,119.13353782807596,14.337012957826724
2026-01-01,3,pre_leap,valid,312624.0,283614.0,291.5270240885388,32.391891565393266,323.91891565393206,0.000932516454554157,0.00011421118691388036,0.12247632345370847,347360.00000000006,34736.00000000007,0.12247632345370833,0.1375406600016843,0.12247632345370836,0.47240867617858906,False,1.1626627789681946e-16,131.59438832442962,16.11719686911576
2026-01-08,3,pre_leap,valid,296529.0,257052.0,294.47174150357444,32.39189156539338,326.86363306896783,0.00099306220134818,0.0001260129917891842,0.1268933523178197,329147.1900000002,32618.19000000019,0.12513836190856187,0.14397803758977798,0.126893352317819,0.4880513550685346,False,0.0,140.13845258849082,17.78263803758544
