x_pixel,date,field_y_v2,azmoth_y_v2,read_total_v2,field_y_v1,azmoth_y_v1,read_total_v1
1010,2024-08-07T20:49:59.481417431,706,710,219.5790902502009,706,783,219.5790902502009
1013,2024-08-10T16:21:09.490060477,705,710,214.50478354273827,705,784,214.50478354273827
1016,2024-08-13T11:52:19.498703515,697,710,215.88868537204627,697,787,215.88868537204627
1019,2024-08-16T07:23:29.507346562,692,710,217.27258720135424,692,793,217.27258720135424
1022,2024-08-19T02:54:39.515989609,693,710,215.88868537204627,693,798,215.88868537204627
1025,2024-08-21T22:25:49.524632646,695,710,217.27258720135424,695,786,217.27258720135424
1028,2024-08-24T17:56:59.533275693,697,710,220.04039085997024,697,791,220.04039085997024
1031,2024-08-27T13:28:09.541918730,698,710,224.1920963478942,698,787,224.1920963478942
1034,2024-08-30T08:59:19.550561777,698,710,231.57290610420347,698,784,231.57290610420347
1037,2024-09-02T03:35:18.928262723,698,710,230.65030488466482,698,777,230.6503048846648
1040,2024-09-04T20:55:47.968885027,697,710,225.5759981772022,697,781,225.5759981772022
1043,2024-09-07T14:16:17.009507321,695,710,226.49859939674084,695,787,226.49859939674084
1046,2024-09-10T07:36:46.050129624,695,710,226.49859939674084,695,789,226.49859939674084
1049,2024-09-13T00:57:15.090751918,693,710,230.1890042748955,693,793,230.1890042748955
1052,2024-09-15T18:17:44.131374222,691,710,232.0342067139728,691,792,232.0342067139728
1055,2024-09-18T11:38:13.171996516,689,710,235.26331098235812,689,791,235.2633109823581
1058,2024-09-21T04:58:42.212618820,689,710,238.95371586051274,689,781,238.95371586051277
1061,2024-09-23T22:19:11.253241113,690,710,242.18282012889804,690,788,242.18282012889804
1064,2024-09-26T15:39:40.293863417,690,710,253.25403476336197,690,783,253.254034763362
1067,2024-09-29T09:00:09.334485711,690,710,254.63793659266994,690,774,254.63793659266997
1070,2024-10-02T03:13:19.654278282,689,710,252.3314335438233,689,781,252.3314335438233
1073,2024-10-04T22:44:29.662921319,686,710,252.79273415359265,686,786,252.79273415359265
1076,2024-10-07T18:15:39.671564366,688,710,247.25712683636067,688,787,247.25712683636067
1079,2024-10-10T13:46:49.680207403,692,710,243.10542134843672,692,790,243.10542134843672
1082,2024-10-13T09:17:59.688850450,698,710,236.6472128116661,698,794,236.6472128116661
1085,2024-10-16T04:49:09.697493497,704,710,226.95990000651017,704,802,226.95990000651017
1088,2024-10-19T00:20:19.706136534,708,754,250.02493049497667,708,798,229.7277036651261
1091,2024-10-21T19:51:29.714779581,709,758,247.71842744613002,709,752,250.486231104746
1094,2024-10-24T15:22:39.723422618,713,710,239.8763170800514,713,746,250.9475317145153
1097,2024-10-27T10:53:49.732065665,715,782,233.87940915305012,715,750,248.64102866566867
