date,total_px,top_y,boss_y,field_y,azmoth_y,other_coin_y,etc_y,azmoth_active,other_coin_active,contains_month_1_or_2,month,target_negative_y,source_sum,boss_source,ratio,source_sum_prediction,ratio_free_origin_prediction,ratio_positive_origin_prediction,source_zero_y
2024-12-19,434,330,449.67690732205233,683.9338453661027,753.0330773169487,776.0407578084879,818.9338453661027,True,True,False,23.580645161290324,-589.610215053764,658.3815668203057,378.32309267794767,1.740262700222641,-575.1845148077721,-529.289854462335,-512.2308914220432,828.0
2024-12-26,434,330,392.05376344085806,670.9150025601634,750.4362519201226,724.702508960572,819.0424987199183,True,True,True,23.806451612903224,-563.1225806451623,782.8499743983656,435.94623655914194,1.7957488991699588,-537.2381594233448,-526.4962819590478,-505.52463031966624,828.0
2025-01-02,418,346,354.99057859703044,674.0282642089088,744.9905785970304,711.0188428059391,818.9905785970304,True,True,True,24.032258064516128,-560.8145161290321,835.9811571940608,473.00942140296956,1.767366820547673,-521.0401957505469,-537.065741057687,-518.6370430560772,828.0
2025-01-09,431,333,360.9903737839244,679.4975934459811,743.0048131080379,719.4879672299055,819.0,True,True,False,24.258064516129032,-564.9655913978492,818.0192524321511,467.0096262160756,1.7516111157282026,-526.5161943170845,-530.4170595531652,-512.6584823407823,828.0
2025-01-16,424,340,360.04270353302536,677.0284690220169,739.0284690220169,727.0,818.0142345110085,True,True,False,24.483870967741936,-563.0,818.8861239119324,467.95729646697464,1.7499163494071601,-526.2519134936653,-534.460227758133,-517.0556511607911,828.0
2025-01-23,434,330,359.42181259600596,676.526062467998,736.526062467998,725.0,819.421812596006,True,True,False,24.70967741935484,-564.0,823.104249871992,468.57818740399404,1.75659958572151,-524.9659445490049,-528.46733868391,-510.2563568200411,828.0
2025-01-30,424,340,348.60624679980094,677.0,732.1136712749627,718.0757808499751,821.0,True,True,True,24.93548387096774,-553.5618279569899,843.2043010752612,479.39375320019906,1.7588971392439727,-518.8380949119306,-534.0370998902262,-516.0009499808375,828.0
2025-02-06,425,339,334.0477324263021,680.922108843537,730.077891156463,728.0175736961412,821.0,True,True,False,25.178571428571427,-555.9749149659863,845.9346938775567,493.9522675736979,1.7125838859548161,-518.0056872541882,-535.6655648581966,-520.853592930085,828.0
2025-02-13,434,330,350.0,677.8136054421758,730.604535147392,741.604535147392,821.0,True,True,False,25.428571428571427,-561.0,818.9773242630403,478.0,1.7133416825586616,-526.2241094829797,-530.645251230061,-515.4846622158899,828.0
2025-02-20,434,330,341.098639455783,660.699546485261,726.699546485261,738.699546485261,821.0,True,True,False,25.678571428571427,-549.0,851.8027210884342,486.901360544217,1.749435902451292,-516.2167172634715,-528.8280097874568,-511.12218528506946,828.0
2025-02-27,417,347,322.28503401360473,664.619954648527,721.8551020408142,724.2850340136048,821.0,True,True,True,25.928571428571427,-544.819557823129,885.9548752834493,505.71496598639527,1.7518858148787377,-505.8048400213283,-538.331378070473,-521.0231521119533,828.0
2025-03-06,414,350,355.2239631336414,671.4079877112138,721.4693292370713,753.039938556069,821.4693292370713,True,True,False,26.161290322580644,-562.1154377880183,817.3894521249332,472.7760368663586,1.7289147257604933,-526.7081998769204,-541.0382362052874,-525.4417023539689,828.0
2025-03-13,421,343,362.9575012800817,676.9150025601634,719.0424987199183,761.9575012800817,821.0424987199183,True,True,False,26.387096774193548,-565.0,798.0849974398366,465.0424987199183,1.7161549743016071,-532.5934981002774,-537.7150704401229,-522.7833582861723,828.0
2023-03-30,82,682,726.0,786.4569380440352,710.0,705.0,825.0,False,False,True,2.935483870967742,-733.0,158.54306195596484,106.0,1.4956892637355175,-730.8964357009813,-709.8385724735889,-722.1766171973384,832.0
2023-04-06,82,682,727.9095238095236,783.0,710.0,705.0,825.0,False,False,False,3.1666666666666665,-732.3543650793652,160.09047619047635,104.09047619047635,1.537993503819936,-730.4320059392664,-712.4626911426714,-722.162403914231,832.0
2023-04-13,84,680,725.6768253968257,782.0,710.0,705.0,825.0,False,False,False,3.4,-731.047142857143,163.32317460317427,106.32317460317427,1.5361013740676839,-729.4617671240735,-711.3727140898444,-721.1308549808438,832.0
2023-04-20,91,673,720.0692063492044,780.0,710.0,705.0,824.7673015873011,False,False,False,3.6333333333333333,-727.7399206349207,171.16349206349457,111.93079365079564,1.529190372735983,-727.1086307184138,-707.5595870970129,-717.5414279993743,832.0
2023-04-27,95,669,713.1961904761904,779.1961904761904,710.0,705.0,824.0,False,False,True,3.8666666666666667,-725.4326984126985,179.6076190476192,118.8038095238096,1.5118001667414869,-724.5742712717561,-704.6159829494444,-715.5681440001699,832.0
2023-05-04,96,668,712.0,778.0,710.0,705.0,824.0,False,False,False,4.096774193548387,-725.0,182.0,120.0,1.5166666666666666,-723.8562392859666,-704.4176701934223,-715.035690907877,832.0
2023-05-11,94,670,712.8275473630312,778.0,710.0,705.0,824.0,False,False,False,4.32258064516129,-725.0,181.17245263696884,119.17245263696884,1.52025446005436,-724.1046133903586,-705.5868932732863,-716.0391460423564,832.0
2023-05-18,96,668,712.0,778.0,710.0,705.0,824.0,False,False,False,4.548387096774194,-724.8484639016898,182.0,120.0,1.5166666666666666,-723.8562392859666,-704.4176701934223,-715.035690907877,832.0
2023-05-25,98,666,710.0,775.3922171018937,710.0,705.0,824.0,False,False,False,4.774193548387097,-722.6801843317972,186.60778289810628,122.0,1.5295719909680843,-722.4732925185958,-704.1925101520558,-713.9428555771115,832.0
2023-06-01,101,663,705.4022217564449,776.0,710.0,705.0,824.0,False,False,True,5.0,-721.0,190.59777824355513,126.59777824355513,1.5055380978082695,-721.2757640571137,-701.3935493315558,-712.5626557522256,832.0
2023-06-08,110,654,694.4104761904765,769.547301587302,710.0,705.0,824.0,False,False,False,5.233333333333333,-713.6140476190478,208.04222222222154,137.58952380952348,1.51204987459824,-716.0401143005266,-697.4500928815637,-707.946795302216,832.0
2023-06-15,133,631,680.3542857142861,755.8285714285715,710.0,705.0,821.0,False,False,False,5.466666666666667,-701.8974603174604,238.81714285714236,151.6457142857139,1.5748360841058113,-706.8035513049813,-689.321097963708,-695.1656076732969,832.0
2023-06-22,146,618,662.9622222222209,749.989206349206,710.2590476190563,705.0,821.0,False,False,False,5.7,-696.1804761904763,262.04857142857304,169.03777777777907,1.5502367273963344,-699.831037678641,-681.8122502259765,-688.8244373510956,832.0
2023-06-29,161,603,646.6939682539692,746.0,710.0,705.0,821.0,False,False,True,5.933333333333334,-688.5660317460319,282.30603174603084,185.30603174603084,1.5234584060002012,-693.7511094613886,-673.4592362837766,-681.7315642386294,832.0
2023-07-06,172,592,634.4697388632891,739.2046082949337,713.1815668202653,705.0,820.9116231438816,False,False,False,6.161290322580645,-680.0750384024578,301.41402969789567,197.53026113671092,1.5259131839515296,-688.0161725985172,-668.2362420642801,-676.0262218658465,832.0
2023-07-13,213,551,624.5407066052206,686.8924731182723,733.0619559651956,705.0,819.5765488991299,False,False,False,6.387096774193548,-655.0,364.9902713773772,207.45929339477937,1.7593343995577402,-668.934857385434,-653.2284987231221,-644.6548375214626,832.0
2023-07-20,214,550,615.7411162314387,680.1294418842807,710.0,705.0,820.0,False,False,False,6.612903225806452,-654.0,380.1294418842806,216.2588837685613,1.7577517984930153,-664.3910958028732,-652.639489515224,-644.1344624946643,832.0
2023-07-27,213,551,607.4471070148492,686.5528929851508,710.0,705.0,820.0,False,False,True,6.838709677419355,-654.0,382.0,224.55289298515083,1.7011582212181109,-663.8296799643847,-652.0325570618654,-647.2348788570932,832.0
2023-08-03,215,549,600.9589349718377,687.9178699436754,710.0,705.0,820.0,False,False,False,7.064516129032258,-652.401920122888,387.12319508448684,231.04106502816228,1.675560121908628,-662.2920410961098,-650.445421259424,-647.2442287312062,832.0
2023-08-10,220,544,599.0,682.0,710.0,705.0,820.5292370711727,False,False,False,7.290322580645161,-650.0,394.4707629288273,233.0,1.693007566218143,-660.0867950107215,-648.1131537156257,-643.614687650209,832.0
2023-08-17,211,553,603.0174091141832,689.0174091141832,710.0,705.0,821.0,False,False,False,7.516129032258064,-654.0,382.9651817716335,228.98259088581676,1.6724641829325833,-663.5399972600294,-652.5016361141828,-649.63123761128,832.0
2023-08-24,211,553,602.4944188428059,691.5055811571941,710.0,705.0,821.0,False,False,False,7.741935483870968,-654.0,381.0,229.50558115719411,1.6600903476026736,-664.1298127609925,-652.2394295060641,-650.1716872477517,832.0
2023-08-31,209,555,599.0062467997949,693.0,710.0,705.0,821.0,False,False,True,7.967741935483871,-654.0,382.9937532002051,232.9937532002051,1.643794084346584,-663.5314220372691,-652.9349013747113,-651.9880048744093,832.0
2023-09-07,200,564,603.5530158730161,700.7650793650804,710.0,705.0,822.0,False,False,False,8.2,-659.1171428571427,369.6819047619035,228.44698412698392,1.6182393747707045,-667.5267443370772,-656.9879779150417,-657.9801795860425,832.0
2023-09-14,197,567,606.1241269841267,705.0,710.0,705.0,822.8758730158733,False,False,False,8.433333333333334,-661.0,362.0,225.87587301587325,1.6026501421626413,-669.8323358965429,-658.1254654862789,-660.2188071466644,832.0
2023-09-21,199,565,600.2190476190457,708.3904761904772,710.0,705.0,822.0,False,False,False,8.666666666666666,-659.8269841269843,365.3904761904771,231.78095238095432,1.5764473846406613,-668.8147427956625,-656.4559287131357,-660.180716027252,832.0
2023-09-28,208,556,589.5326984126986,705.7336507936507,710.0,705.0,822.0,False,False,True,8.9,-655.0,378.7336507936508,242.46730158730145,1.561998868772357,-664.8100184863843,-651.6443405596926,-656.0303897231881,832.0
2023-10-05,192,572,601.7403993855596,714.9503328212996,710.0,705.0,822.0,False,False,False,9.129032258064516,-662.8322580645158,357.30926779314075,230.2596006144404,1.5517670787218965,-671.2401784719264,-659.2780299121089,-664.8086586131705,832.0
2023-10-12,191,573,607.5564772145414,712.7217613927294,710.0,705.0,822.2782386072706,False,False,False,9.35483870967742,-664.8763440860214,353.44352278545864,224.44352278545864,1.574754835421598,-672.400415332055,-660.4019646707134,-664.4804488105851,832.0
2023-10-19,191,573,608.2335893497182,712.0,710.0,705.0,822.0,False,False,False,9.580645161290322,-664.0,353.76641065028184,223.76641065028184,1.5809629766246431,-672.3035060941949,-660.5728256173506,-664.2510126744476,832.0
2023-10-26,194,570,602.7454173067076,712.0,710.0,705.0,823.0,False,False,True,9.806451612903226,-662.2129032258064,358.2545826932924,229.25458269329238,1.5626932228987644,-670.9564584672687,-658.5858351425729,-663.3511338475879,832.0
2024-01-04,199,565,584.9835125448029,722.4917562724015,710.0,705.0,821.0,False,False,False,12.096774193548388,-660.0,367.52473118279556,247.01648745519708,1.4878550616968667,-668.1741828761435,-654.2420588620616,-663.6929678254415,832.0
2024-02-01,193,571,573.2342007434943,719.0,710.0,705.0,822.0,False,False,True,13.0,-653.8357142857144,381.7657992565057,258.7657992565057,1.4753332950235603,-663.8999712884972,-656.7315447844398,-667.1634490099957,832.0
2024-03-14,195,569,585.0843830005122,718.0,710.0,786.0,822.0,False,True,False,14.419354838709678,-658.0,416.91561699948784,246.91561699948784,1.6884943207150507,-653.3503581890377,-661.3941135803757,-658.0077741060622,832.0
