date,season,weight_status,P_total,A_accounts,C_accounts,M_boss,C_boss,residual_C_to_M_productivity_assumed,main_residual,main_total,challenger_total,q_main,q_main_sep2025_100,own_scenario_baseline
2026-06-18,4,missing_challenger_count,857.3034025030339,393763.0,,512.3808302162212,97.1756746961782,0.0,,,,,,0.001393698358647888
2026-06-25,4,valid,1072.6991596510863,432475.0,472376.0,512.1817689078451,168.04795396541215,0.0,392.4694367778291,904.6512056856743,168.04795396541203,0.0020918000015854657,150.0898661899013,0.001393698358647888
2026-07-02,4,valid,1040.099476446841,395729.0,450911.0,518.4971422797536,205.90334181903995,0.0,315.69899234804745,834.196134627801,205.90334181903995,0.002107998490451296,151.2521326706874,0.001393698358647888
2026-07-09,4,valid,1015.5044957308223,372451.0,431527.0,518.490808320614,235.3568499285371,0.0,261.65683748167135,780.1476458022853,235.35684992853703,0.002094631631549614,150.29303999337017,0.001393698358647888
2026-07-16,4,valid,1040.8921081240928,364034.0,412846.0,524.0470189225312,259.2478134769772,0.0,257.5972757245844,781.6442946471155,259.2478134769773,0.0021471738756465484,154.06302678935873,0.001393698358647888
2026-07-23,4,valid,1102.7261534704119,350778.0,399123.0,535.9580237405683,279.72870022433324,0.0,287.0394295055104,822.9974532460786,279.72870022433324,0.002346206014191536,168.34388873556068,0.001393698358647888
2026-07-30,4,valid,1293.9960742605092,338148.0,380114.0,547.9947452951455,294.1944354050777,0.0,451.80689356028597,999.8016388554315,294.1944354050777,0.002956698365376792,212.14765354572606,0.001393698358647888
2026-08-06,4,valid,1158.4151096879323,332303.0,367949.0,559.3519509268257,309.3396865087195,0.0,289.72347225238707,849.0754231792127,309.3396865087195,0.0025551241583109774,183.33408678114967,0.001393698358647888
2026-08-13,4,valid,1155.1363638938103,327645.0,354963.0,572.8939386925333,322.3001554783336,0.0,259.9422697229435,832.8362084154768,322.3001554783335,0.002541885908271076,182.38422198739727,0.001393698358647888
2026-08-20,4,valid,1183.6974278362397,332295.0,343054.0,599.7583667726744,344.7359559994829,0.0,239.2031050640824,838.9614718367568,344.73595599948294,0.0025247490086722844,181.15462309374448,0.001393698358647888
2024-08-22,0,outside_season,222.6577867661019,317258.0,0.0,161.95945782696603,0.0,0.5,60.69832893913588,222.6577867661019,0.0,0.0007018192977516781,58.93421465931905,0.001190852040378724
2024-08-29,0,outside_season,230.0904119986253,306714.0,0.0,164.90417524200177,0.0,0.5,65.18623675662354,230.0904119986253,0.0,0.0007501790332316925,62.995150345723445,0.001190852040378724
2024-09-05,0,outside_season,230.0904119986253,303541.0,0.0,167.8488926570375,0.0,0.5,62.24151934158781,230.0904119986253,0.0,0.0007580208670282608,63.65365648508181,0.001190852040378724
2024-09-12,0,outside_season,237.52303723114872,306155.0,0.0,176.68304490214476,0.0,0.5,60.83999232900397,237.52303723114872,0.0,0.0007758260921139577,65.14882334729204,0.001190852040378724
2024-09-19,0,outside_season,244.01419660088567,309978.0,0.0,179.6277623171805,0.0,0.5,64.38643428370517,244.01419660088567,0.0,0.0007871984353756901,66.10379868227282,0.001190852040378724
2024-09-26,0,outside_season,252.38828769619565,313672.0,0.0,182.57247973221627,0.0,0.5,69.81580796397938,252.38828769619565,0.0,0.0008046248555694983,67.5671559762878,0.001190852040378724
2024-10-03,0,outside_season,259.8209129287191,317449.0,0.0,188.46191456228772,0.0,0.5,71.3589983664314,259.8209129287191,0.0,0.0008184650540046405,68.72936571904818,0.001190852040378724
2024-10-10,0,outside_season,248.46646470484197,308321.0,0.0,188.46191456228772,0.0,0.5,60.00455014255425,248.46646470484197,0.0,0.0008058694176032186,67.67166619179068,0.001190852040378724
2024-10-17,0,outside_season,231.7070936160228,307061.0,0.0,176.68304490214476,0.0,0.5,55.02404871387804,231.7070936160228,0.0,0.0007545962972048642,63.36608341073855,0.001190852040378724
2024-10-24,0,outside_season,222.6577867661019,294497.0,0.0,173.73832748710902,0.0,0.5,48.91945927899289,222.6577867661019,0.0,0.0007560613071308092,63.48910540476218,0.001190852040378724
2024-10-31,0,outside_season,222.6577867661019,280766.0,0.0,164.90417524200177,0.0,0.5,57.75361152410014,222.6577867661019,0.0,0.0007930368590431245,66.59407148439001,0.001190852040378724
2024-11-07,0,outside_season,216.78955217775746,268656.0,0.0,164.90417524200177,0.0,0.5,51.88537693575569,216.78955217775746,0.0,0.0008069410405044274,67.76165410505556,0.001190852040378724
2024-11-14,0,outside_season,215.22516153357844,259181.0,0.0,164.90417524200177,0.0,0.5,50.32098629157667,215.22516153357844,0.0,0.0008304048581245478,69.73199272182092,0.001190852040378724
2024-11-21,0,outside_season,207.792536301055,266794.0,0.0,161.95945782696603,0.0,0.5,45.83307847408898,207.792536301055,0.0,0.0007788501102013351,65.40276069507671,0.001190852040378724
2024-11-28,0,outside_season,220.8845747463416,282394.0,0.0,164.90417524200177,0.0,0.5,55.98039950433983,220.8845747463416,0.0,0.00078218579270927,65.68286959146606,0.001190852040378724
2024-12-05,0,outside_season,230.0904119986253,270955.0,0.0,173.73832748710902,0.0,0.5,56.352084511516296,230.0904119986253,0.0,0.0008491831189630208,71.3088687905306,0.001190852040378724
2024-12-12,0,outside_season,249.55909486575072,353878.0,0.0,182.57247973221627,0.0,0.5,66.98661513353446,249.55909486575072,0.0,0.0007052122337804292,59.21913133357458,0.001190852040378724
2024-12-19,1,valid,281.42747455896165,377665.0,173213.0,182.57247973221624,35.33660898042894,0.5,51.669489061140084,234.2419687933563,47.18550576560534,0.0006202374294503232,52.083500587786745,0.001190852040378724
