date,extra_boss_C_share_assumed,nonboss_C_to_M_ratio_assumed,three_component_feasible,q_main_three_component
2025-12-18,0.5,0.0,False,
2025-12-25,0.5,0.0,True,0.0015313675383343943
2026-01-01,0.5,0.0,True,0.0017609063289409372
2026-01-08,0.5,0.0,True,0.001789441508388824
2026-01-15,0.5,0.0,True,0.0015503478084732299
2026-01-22,0.5,0.0,True,0.0017332187297449991
2026-01-29,0.5,0.0,True,0.0017884258937773893
2026-02-05,0.5,0.0,True,0.0018467334668835324
2026-02-12,0.5,0.0,True,0.0018653768906318551
2026-02-19,0.5,0.0,True,0.0019297627869886867
2026-02-26,0.5,0.0,True,0.00202884703659862
2026-03-05,0.5,0.0,True,0.0019796832132044414
2026-03-12,0.5,0.0,True,0.0020404136936666138
2026-03-19,0.5,0.0,True,0.0018766992577023771
2026-03-26,0.5,0.0,True,0.0016086510668902895
2026-04-02,0.5,0.0,True,0.0016864759051399992
2026-04-09,0.5,0.0,True,0.001692017979024809
2026-04-16,0.5,0.0,True,
